Month,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,3.47,1.66,1.95,0.87,3.18,2.69,2.38,3.63,5.53,5.15
2,2.19,2.19,1.55,2.04,1.99,2.2,3.89,2.26,2.99,1.83
3,4.68,4.5,1.4,2.05,3.65,1.45,3.27,2.07,2.18,1.94
4,2.24,5.26,3.99,1.77,2.28,2.39,2.58,3.98,4.77,5.53
5,1.73,3.51,5.12,4.56,3.31,2.32,2.09,6.36,2.37,4.43
6,4.38,2.79,7.05,5.46,3.59,4.9,2.85,4.32,5.42,5.33
7,2.15,2.1,0.58,3.74,6.78,1.16,2.69,1.91,2.48,4.46
8,1.89,8.32,2.6,4.69,2.96,2.63,2.24,1.64,2.73,7.54
9,5.73,2.79,6.33,7.17,0.89,6.89,1.23,2.69,2.63,2.81
10,5.83,5.16,6.96,1.02,6.85,2.58,3.2,5.59,4.66,5.8
11,4.75,2.19,1.13,3.76,3.21,2.26,4.16,3.05,7.0,3.97
12,5.47,3.85,3.59,2.93,5.23,4.06,3.77,3.83,4.23,3.21
